N,min,Generation,Map,Merge,Sort,Reduce
900,27.958155,0.000875,0.014641,0.002038,0.006678,0.003556
3310,43.609858,0.002762,0.016239,0.002793,0.016893,0.00473
5720,71.156979,0.005041,0.018146,0.002304,0.04066,0.004838
8130,106.873989,0.006958,0.019528,0.00228,0.073022,0.0049
10540,151.523113,0.008843,0.020236,0.002327,0.114871,0.005066
12950,199.368,0.010875,0.02221,0.002201,0.158457,0.005429
15360,265.656948,0.012602,0.023814,0.0023,0.221241,0.005521
17770,336.731911,0.014586,0.025042,0.002463,0.28903,0.005426
20180,380.25713,0.016506,0.026671,0.002604,0.328829,0.005464
22590,511.144161,0.018855,0.031792,0.002686,0.451752,0.005871
25000,618.432045,0.020738,0.046871,0.003485,0.53788,0.009276
