N,0,1,2,3,4,5,6,7,8,9,min
900,75.354124,124.819157,117.487016,120.061082,75.436917,82.370124,120.9839,79.946318,119.721756,121.965736,75.354124
3310,136.083036,139.528415,133.243939,109.106454,140.391239,144.478004,142.74328,92.942249,136.581318,130.055872,92.942249
5720,128.071662,119.386824,174.957906,176.79679,213.57985,162.879892,127.95954,173.186418,124.63627,125.006246,119.386824
8130,156.848983,206.886782,205.493461,159.954238,159.474413,205.550278,159.673278,161.4947,207.229729,159.164483,156.848983
10540,262.093284,254.101999,255.439541,258.868585,256.255422,212.291384,252.052741,255.039248,266.929787,216.709249,212.291384
12950,316.49808,266.815764,324.312281,313.115671,263.869041,268.32704,315.261132,267.346718,309.620553,321.848169,263.869041
15360,374.430556,371.33693,333.785185,369.723045,389.791086,370.062272,382.91842,370.022619,338.649598,339.355332,333.785185
17770,459.293443,462.267606,446.283685,454.879916,362.91036,453.716845,455.490965,458.435093,372.536666,387.264229,362.91036
20180,497.828493,546.503517,540.226858,540.949663,492.046937,489.937176,537.393984,534.905085,514.217691,529.622355,489.937176
22590,654.076956,639.10796,586.311641,650.442411,589.753132,641.691742,632.594372,595.483228,650.535575,640.338562,586.311641
25000,708.111232,713.953967,688.138843,655.00553,707.290241,666.339028,702.714268,681.286822,685.302322,699.142913,655.00553
