N,0,1,2,3,4,5,6,7,8,9,min
900,9.999027,9.64834,9.176473,8.449326,16.168152,14.038394,10.235031,15.376678,16.111299,8.919587,8.449326
3310,11.083499,10.730577,15.351675,16.518352,11.673264,17.161759,17.810569,14.642113,14.753022,10.827997,10.730577
5720,13.186607,20.810113,18.661307,15.258536,21.866307,22.468955,25.061114,24.111515,26.416777,20.30354,13.186607
8130,17.848624,23.979054,24.163715,25.763183,24.068327,17.248445,22.764087,25.510319,29.390535,21.707781,17.248445
10540,23.707291,31.308698,28.72988,29.14194,30.284941,22.77496,29.352667,33.895949,30.873368,36.338186,22.77496
12950,35.980685,29.608873,36.573082,36.72967,32.574216,33.417189,30.387059,36.655672,37.035889,30.250403,29.608873
15360,46.222841,64.573542,45.27318,41.456441,31.270098,41.107819,44.740061,36.869812,40.465248,43.673284,31.270098
17770,46.906254,41.961664,45.582527,52.44669,44.161791,52.55622,46.777806,42.42301,55.723849,49.798698,41.961664
20180,56.180836,59.758126,60.822292,59.659606,51.850581,60.386595,55.321938,60.911119,55.164261,59.744602,51.850581
22590,72.281214,62.57965,78.641803,68.524059,68.24052,69.424117,79.620955,73.354966,76.501776,67.181457,62.57965
25000,75.477176,82.764684,73.631882,74.360471,71.993313,75.981425,70.157304,70.984507,72.072355,80.873735,70.157304
