N,min,Generation,Map,Merge,Sort,Reduce
900,14.302015,0.00087,0.006634,0.000748,0.004219,0.001634
3310,25.300026,0.002753,0.008538,0.000917,0.010667,0.002213
5720,41.342974,0.00505,0.010021,0.001179,0.022568,0.002321
8130,62.990189,0.006931,0.011901,0.001197,0.040485,0.00227
10540,90.258121,0.008788,0.013467,0.001377,0.064087,0.002353
12950,125.174046,0.010675,0.015461,0.001537,0.094927,0.002388
15360,168.459177,0.012539,0.017823,0.001749,0.133579,0.002577
17770,213.264942,0.014518,0.019429,0.0019,0.174701,0.002504
20180,304.11911,0.017439,0.024061,0.002263,0.257241,0.0029
22590,377.331972,0.019712,0.02669,0.002459,0.325303,0.002947
25000,459.969997,0.022685,0.028533,0.002744,0.402636,0.003165
