N,min,Generation,Map,Merge,Sort,Reduce
900,21.587849,0.000878,0.010756,0.001849,0.005536,0.002383
3310,35.932064,0.002796,0.013334,0.001733,0.014599,0.003294
5720,61.05113,0.005088,0.01466,0.00198,0.03565,0.003496
8130,93.109846,0.006943,0.016007,0.001894,0.06469,0.003388
10540,137.906075,0.008823,0.018796,0.002492,0.103925,0.003679
12950,192.857027,0.010769,0.020089,0.00267,0.155445,0.003682
15360,252.629995,0.01267,0.022157,0.002895,0.210887,0.003829
17770,291.39185,0.014612,0.023921,0.003024,0.245641,0.004022
20180,327.875137,0.016412,0.025803,0.003139,0.278406,0.003921
22590,432.298899,0.018542,0.028276,0.003502,0.377838,0.003953
25000,517.874956,0.020764,0.031327,0.003607,0.457721,0.00427
