N,min,Generation,Map,Merge,Sort,Reduce
900,12.435913,0.001318,0.004573,0.000615,0.005387,0.000313
3310,39.895058,0.002717,0.009831,0.001032,0.025685,0.000467
5720,95.031023,0.004986,0.016515,0.00169,0.071056,0.000631
8130,172.894955,0.006898,0.023328,0.002324,0.139334,0.000836
10540,274.441957,0.00877,0.030235,0.003663,0.230605,0.000998
12950,397.680998,0.010665,0.037007,0.004,0.344657,0.00119
15360,545.390129,0.012615,0.043939,0.004697,0.482584,0.001392
17770,716.3589,0.014784,0.051376,0.005368,0.643055,0.001584
20180,904.968977,0.01642,0.057274,0.005952,0.823351,0.001791
22590,1120.03684,0.018248,0.064059,0.006606,1.028934,0.002014
25000,1361.099005,0.020501,0.071918,0.007368,1.258893,0.00221
