N,T,iter,Generation,Map,Merge,Sort,Reduce
900,20.38908,0,0.000927,0.003606,0.000481,0.002805,0.004793
900,20.358086,1,0.000931,0.003608,0.000454,0.002791,0.004812
900,20.309925,2,0.000922,0.003589,0.000461,0.002783,0.004797
900,20.359993,3,0.000909,0.003565,0.000459,0.002814,0.004819
900,20.421028,4,0.000945,0.003602,0.000453,0.002794,0.004801
900,20.327806,5,0.000924,0.003624,0.000459,0.002796,0.004833
900,20.430803,6,0.000926,0.00365,0.000518,0.002805,0.00481
900,23.440838,7,0.001382,0.004077,0.000525,0.003014,0.005632
900,20.323992,8,0.000918,0.003575,0.000459,0.002797,0.004847
900,20.327091,9,0.000904,0.003613,0.000462,0.002796,0.004805
3310,52.970886,0,0.002843,0.003956,0.000462,0.02936,0.007278
3310,53.031921,1,0.002889,0.003985,0.000461,0.029323,0.007288
3310,54.629087,2,0.002879,0.003975,0.000466,0.030937,0.007245
3310,56.03385,3,0.003698,0.004031,0.000463,0.031128,0.007337
3310,58.76708,4,0.004872,0.004746,0.000544,0.029443,0.008147
3310,59.548855,5,0.004716,0.004688,0.000544,0.031226,0.007916
3310,55.346966,6,0.003458,0.004007,0.000489,0.030902,0.007284
3310,55.068016,7,0.003171,0.004018,0.000466,0.030901,0.007305
3310,55.054903,8,0.003324,0.004001,0.000476,0.030972,0.007276
3310,53.770065,9,0.003534,0.00403,0.000469,0.029179,0.007275
5720,98.801136,0,0.008125,0.004143,0.000541,0.065671,0.010015
5720,93.868017,1,0.00518,0.003657,0.000469,0.065825,0.009458
5720,93.643904,2,0.005203,0.00363,0.000458,0.065797,0.009419
5720,93.399048,3,0.005144,0.003626,0.000462,0.065634,0.00941
5720,93.688965,4,0.005217,0.003632,0.000463,0.065664,0.009462
5720,99.008083,5,0.008104,0.00418,0.000577,0.065759,0.010097
5720,99.903107,6,0.008218,0.004253,0.000547,0.06641,0.010116
5720,98.867893,7,0.00771,0.004166,0.00057,0.066031,0.010116
5720,98.830223,8,0.007922,0.004132,0.000545,0.06604,0.009988
5720,99.539995,9,0.007879,0.004182,0.000577,0.066416,0.010103
8130,164.175034,0,0.010689,0.004464,0.000553,0.124982,0.012106
8130,128.663778,1,0.010574,0.004446,0.000554,0.091618,0.010088
8130,121.491909,2,0.007087,0.003834,0.00046,0.090715,0.009469
8130,128.573895,3,0.010915,0.004473,0.00056,0.091343,0.010097
8130,128.452063,4,0.010655,0.004379,0.000538,0.091371,0.010078
8130,129.468918,5,0.011508,0.004543,0.000549,0.09142,0.010089
8130,128.660917,6,0.01053,0.004469,0.000552,0.09142,0.010129
8130,128.664017,7,0.010588,0.004462,0.000559,0.091453,0.01011
8130,128.161907,8,0.010714,0.004425,0.000546,0.091325,0.010034
8130,128.168106,9,0.0105,0.004491,0.000549,0.09141,0.010087
10540,193.428993,0,0.013732,0.004188,0.000547,0.151665,0.011586
10540,193.289042,1,0.013405,0.004213,0.000543,0.151937,0.011724
10540,185.140133,2,0.008894,0.003604,0.000459,0.150923,0.010967
10540,185.502052,3,0.00898,0.003594,0.000463,0.151124,0.011013
10540,185.551882,4,0.009092,0.003703,0.000468,0.150944,0.011017
10540,185.353994,5,0.008968,0.003695,0.000448,0.150958,0.011012
10540,185.655832,6,0.009057,0.003668,0.000468,0.150926,0.011016
10540,185.636044,7,0.008979,0.003594,0.000451,0.151249,0.011095
10540,185.578108,8,0.009074,0.003641,0.000463,0.151011,0.011096
10540,185.59885,9,0.008918,0.00361,0.000453,0.15122,0.011066
12950,287.284136,0,0.010871,0.003642,0.00046,0.248859,0.012508
12950,287.634134,1,0.010853,0.003654,0.000458,0.24899,0.012601
12950,287.3981,2,0.010964,0.003611,0.000484,0.24893,0.012592
12950,287.567139,3,0.010958,0.003652,0.000473,0.248854,0.012497
12950,286.979914,4,0.010953,0.003608,0.000475,0.248533,0.012468
12950,287.549973,5,0.010978,0.00365,0.000471,0.248804,0.012505
12950,287.534952,6,0.010923,0.003642,0.000473,0.248734,0.012559
12950,287.188053,7,0.010762,0.00362,0.000462,0.248855,0.012581
12950,287.075043,8,0.010884,0.003618,0.000488,0.248682,0.012475
12950,287.687063,9,0.011076,0.003649,0.000462,0.24894,0.012643
15360,398.874998,0,0.012658,0.003574,0.000459,0.356764,0.014122
15360,398.679018,1,0.012636,0.003552,0.000464,0.356344,0.014015
15360,398.173094,2,0.012612,0.003586,0.000465,0.356355,0.014008
15360,398.390055,3,0.012662,0.003569,0.000476,0.356562,0.014004
15360,398.653984,4,0.012646,0.003566,0.000458,0.356452,0.014142
15360,398.735046,5,0.012673,0.003561,0.000457,0.356521,0.01414
15360,398.814201,6,0.012622,0.003535,0.000452,0.356364,0.014032
15360,399.149179,7,0.012807,0.003633,0.000465,0.356623,0.014188
15360,399.148941,8,0.012771,0.003618,0.000457,0.356641,0.014226
15360,399.412155,9,0.012863,0.003624,0.000468,0.356739,0.014234
17770,461.469889,0,0.014734,0.004612,0.000895,0.413375,0.015718
17770,462.400913,1,0.014626,0.004459,0.000896,0.41355,0.015738
17770,461.805105,2,0.014654,0.004481,0.000901,0.413312,0.01565
17770,462.32295,3,0.014694,0.004438,0.000902,0.413872,0.015727
17770,462.306023,4,0.01473,0.004437,0.000881,0.413741,0.015735
17770,461.884022,5,0.014612,0.004486,0.000878,0.413503,0.015709
17770,462.085009,6,0.014563,0.004447,0.000875,0.413708,0.015717
17770,462.125063,7,0.014733,0.004486,0.000896,0.413384,0.015616
17770,461.901903,8,0.014679,0.004474,0.000885,0.413398,0.015762
17770,462.195873,9,0.014495,0.004463,0.000889,0.413658,0.015726
20180,593.438864,0,0.01647,0.003665,0.000467,0.542184,0.017121
20180,593.381166,1,0.016375,0.00369,0.000457,0.54242,0.017148
20180,593.821049,2,0.016396,0.003712,0.00045,0.542703,0.017179
20180,593.601942,3,0.016436,0.003724,0.000461,0.542571,0.017117
20180,593.574047,4,0.016491,0.003682,0.000463,0.542424,0.017127
20180,597.517967,5,0.016816,0.003756,0.000461,0.543031,0.019808
20180,598.407984,6,0.016586,0.003709,0.000463,0.547112,0.017145
20180,598.369122,7,0.016797,0.00376,0.000466,0.546404,0.017249
20180,598.735094,8,0.016877,0.003722,0.000468,0.546979,0.017288
20180,598.042965,9,0.016646,0.003704,0.000464,0.546665,0.01726
22590,746.204138,0,0.018594,0.003605,0.000486,0.690924,0.018875
22590,745.931864,1,0.018527,0.003584,0.000484,0.690877,0.018762
22590,745.723963,2,0.018322,0.003693,0.000464,0.690769,0.018779
22590,745.326042,3,0.01834,0.003594,0.000469,0.690559,0.01873
22590,746.010065,4,0.018391,0.00357,0.000466,0.690997,0.018785
22590,745.816946,5,0.018338,0.0036,0.000464,0.690941,0.018765
22590,745.948792,6,0.018346,0.003599,0.000467,0.690865,0.018758
22590,745.574951,7,0.018306,0.003577,0.000472,0.69078,0.018818
22590,746.248007,8,0.018376,0.003583,0.000486,0.690793,0.018785
22590,746.015072,9,0.018352,0.003574,0.00046,0.69064,0.018754
25000,908.74505,0,0.020247,0.003583,0.000454,0.849937,0.020276
25000,909.457922,1,0.020204,0.003626,0.000457,0.850035,0.020309
25000,909.196854,2,0.020207,0.003597,0.000483,0.850004,0.020437
25000,909.632206,3,0.020191,0.003633,0.000474,0.849861,0.020402
25000,909.651041,4,0.020219,0.003573,0.000469,0.850605,0.020361
25000,909.273863,5,0.02016,0.003628,0.000462,0.850486,0.020286
25000,908.986092,6,0.020243,0.003601,0.00046,0.849643,0.020299
25000,910.136938,7,0.020243,0.003599,0.000466,0.850529,0.020396
25000,909.631968,8,0.020231,0.003606,0.000457,0.850118,0.020402
25000,909.466982,9,0.020189,0.00369,0.000462,0.849804,0.020359
