N,T,iter,Generation,Map,Merge,Sort,Reduce
10540,77.50082,5,0.009214,0.003722,0.000472,0.047421,0.006521
10540,77.516079,6,0.009179,0.003758,0.000496,0.0472,0.006472
10540,77.16918,7,0.009099,0.003765,0.000483,0.047221,0.006419
10540,77.277899,8,0.009198,0.003766,0.00049,0.047207,0.006491
10540,75.850964,9,0.009154,0.003767,0.000473,0.045816,0.006474
12950,101.320982,0,0.011172,0.003787,0.000483,0.067863,0.007307
12950,103.234053,1,0.011149,0.003734,0.00049,0.069566,0.007309
12950,103.003979,2,0.011037,0.00375,0.000486,0.069547,0.007374
12950,102.170944,3,0.011104,0.003743,0.000478,0.068902,0.00732
12950,102.310896,4,0.011117,0.003739,0.000481,0.068796,0.007228
12950,101.774931,5,0.011146,0.003734,0.000492,0.068345,0.00734
12950,102.509975,6,0.011163,0.003762,0.000482,0.069287,0.007245
12950,103.224993,7,0.011173,0.003774,0.00048,0.069615,0.007359
12950,102.404833,8,0.011104,0.003764,0.000489,0.068941,0.007316
12950,102.319956,9,0.011034,0.003757,0.000504,0.068857,0.007392
15360,126.348019,0,0.013001,0.003751,0.000475,0.090327,0.007543
15360,127.331018,1,0.013088,0.003748,0.000497,0.091212,0.007513
15360,110.810041,2,0.012911,0.003661,0.000467,0.075486,0.007188
15360,110.510111,3,0.012948,0.003719,0.00047,0.075137,0.00708
15360,111.165047,4,0.013391,0.003691,0.000471,0.074938,0.007177
15360,109.792948,5,0.013114,0.003679,0.000486,0.074529,0.006921
15360,108.173847,6,0.01308,0.003657,0.000488,0.073142,0.006678
15360,107.675076,7,0.012984,0.003598,0.000461,0.072812,0.006737
15360,107.916832,8,0.013218,0.003677,0.000469,0.072683,0.006748
15360,108.121157,9,0.013092,0.003741,0.000488,0.072942,0.006717
17770,135.198832,0,0.01479,0.004549,0.000968,0.095558,0.007449
17770,135.523796,1,0.015055,0.004594,0.000943,0.09514,0.007495
17770,136.198044,2,0.015003,0.004637,0.000966,0.09536,0.00757
17770,129.449129,3,0.014948,0.004462,0.000917,0.089283,0.007438
17770,129.703045,4,0.015074,0.004646,0.000918,0.089163,0.00744
17770,129.806042,5,0.015077,0.004481,0.000913,0.089366,0.00749
17770,128.984928,6,0.014877,0.004478,0.000891,0.088987,0.007421
17770,128.436089,7,0.014829,0.004453,0.000891,0.08895,0.007311
17770,129.209042,8,0.014907,0.004484,0.000886,0.089284,0.007413
17770,128.763914,9,0.014832,0.004457,0.000903,0.08879,0.007369
20180,147.281885,0,0.016718,0.003744,0.000468,0.105951,0.007452
20180,148.258924,1,0.016974,0.003721,0.000465,0.106537,0.007538
20180,148.500919,2,0.016764,0.003724,0.000463,0.106321,0.007628
20180,148.071051,3,0.016804,0.003742,0.000466,0.106451,0.007573
20180,148.430109,4,0.016804,0.003751,0.000465,0.106251,0.007606
20180,148.193121,5,0.016853,0.003761,0.000465,0.106568,0.007594
20180,148.456097,6,0.016871,0.003752,0.000476,0.106839,0.007649
20180,147.783041,7,0.017055,0.003775,0.000465,0.106186,0.007478
20180,148.147106,8,0.016946,0.003718,0.000472,0.10651,0.007538
20180,147.811174,9,0.016795,0.003703,0.000456,0.106312,0.007544
22590,176.046848,0,0.018872,0.003719,0.000469,0.130955,0.008523
22590,173.980951,1,0.018692,0.003667,0.00049,0.130538,0.008101
22590,175.359011,2,0.018808,0.003672,0.000475,0.130948,0.008202
22590,175.162077,3,0.018543,0.003563,0.000462,0.13099,0.008346
22590,175.558805,4,0.018521,0.003604,0.000473,0.131341,0.008352
22590,175.112963,5,0.018481,0.003578,0.000466,0.130857,0.008392
22590,175.023079,6,0.018432,0.003583,0.00046,0.13079,0.008326
22590,176.013947,7,0.018507,0.003583,0.000465,0.131581,0.008457
22590,176.176071,8,0.018898,0.003613,0.000493,0.13102,0.008487
22590,175.61698,9,0.018906,0.003618,0.000474,0.130982,0.008337
25000,204.206944,0,0.020891,0.003624,0.000489,0.157962,0.008446
25000,203.052044,1,0.020547,0.003613,0.000453,0.156116,0.008526
25000,205.692053,2,0.020766,0.003601,0.00048,0.157969,0.008547
25000,206.130028,3,0.020831,0.003626,0.000468,0.157925,0.008676
25000,204.471827,4,0.020597,0.003601,0.000485,0.157767,0.008559
25000,203.908205,5,0.020839,0.003631,0.000465,0.156023,0.008593
25000,203.212023,6,0.0205,0.003581,0.000461,0.156194,0.008514
25000,203.856945,7,0.020898,0.003673,0.000467,0.156437,0.008605
25000,204.711199,8,0.020387,0.003583,0.000459,0.157941,0.008514
25000,204.324007,9,0.020345,0.003581,0.000471,0.157685,0.008556
