N,T,iter,Generation,Map,Merge,Sort,Reduce
900,18.814802,0,0.000913,0.003631,0.000465,0.002012,0.004423
900,18.816948,1,0.000902,0.003615,0.000465,0.002072,0.004382
900,18.815994,2,0.000893,0.00363,0.000471,0.002039,0.004409
900,18.980026,3,0.000926,0.003634,0.000465,0.002053,0.004456
900,18.810987,4,0.000924,0.003682,0.000477,0.002007,0.004403
900,19.207001,5,0.000989,0.003711,0.000479,0.002065,0.004489
900,18.838882,6,0.000935,0.003618,0.00048,0.002044,0.004412
900,18.810034,7,0.000926,0.003615,0.000481,0.002023,0.004417
900,18.809795,8,0.000926,0.003619,0.000464,0.002023,0.004427
900,18.787861,9,0.000916,0.0036,0.000461,0.00202,0.004391
3310,29.105186,0,0.003611,0.004088,0.000494,0.00755,0.004628
3310,31.807899,1,0.003652,0.004087,0.000502,0.010025,0.004633
3310,32.932043,2,0.003646,0.004102,0.000483,0.011162,0.004621
3310,31.693935,3,0.003695,0.004127,0.000477,0.009779,0.004666
3310,33.342123,4,0.003671,0.004152,0.000479,0.011549,0.004601
3310,32.781839,5,0.003681,0.004035,0.000472,0.011184,0.00455
3310,31.06904,6,0.00322,0.003987,0.000458,0.009824,0.004515
3310,33.102036,7,0.003599,0.004021,0.000463,0.011646,0.004558
3310,32.999992,8,0.003687,0.004123,0.000473,0.011174,0.004569
3310,31.193018,9,0.003301,0.004013,0.000468,0.009951,0.004547
5720,42.665005,0,0.005259,0.003656,0.000509,0.018898,0.005455
5720,41.857004,1,0.005232,0.003774,0.000474,0.018287,0.005367
5720,42.612076,2,0.005203,0.003609,0.000467,0.018924,0.005544
5720,42.475224,3,0.005228,0.003688,0.000474,0.018918,0.005385
5720,42.790174,4,0.005302,0.003718,0.000488,0.018943,0.005451
5720,42.484045,5,0.005273,0.003646,0.000489,0.018852,0.00544
5720,42.638063,6,0.005216,0.003641,0.000471,0.018919,0.005423
5720,42.461872,7,0.005234,0.003642,0.000476,0.01885,0.005406
5720,41.904211,8,0.005208,0.003634,0.000466,0.018391,0.005407
5720,41.764021,9,0.00522,0.00363,0.000468,0.018292,0.005389
8130,57.84893,0,0.007146,0.003821,0.000495,0.030496,0.006034
8130,58.001041,1,0.007193,0.003832,0.0005,0.030709,0.006073
8130,57.193041,2,0.007276,0.003885,0.000491,0.02982,0.00577
8130,57.612896,3,0.007124,0.003796,0.0005,0.03043,0.006091
8130,57.095051,4,0.007255,0.003981,0.000507,0.029647,0.005827
8130,56.585073,5,0.007204,0.003856,0.000486,0.029607,0.005763
8130,56.805849,6,0.007214,0.003831,0.000486,0.029628,0.00577
8130,57.149172,7,0.007224,0.003871,0.000498,0.029803,0.005877
8130,56.740046,8,0.00722,0.003849,0.000495,0.029614,0.005742
8130,56.78916,9,0.007217,0.003877,0.00048,0.029715,0.00568
10540,75.348139,0,0.009013,0.003647,0.000478,0.045783,0.006372
10540,77.167988,1,0.009167,0.003671,0.000479,0.047135,0.006365
10540,75.968027,2,0.009176,0.003699,0.000486,0.045983,0.006497
10540,75.7761,3,0.009081,0.003694,0.000461,0.045848,0.006348
10540,76.603174,4,0.009192,0.003756,0.00049,0.046274,0.006469
