N,0,1,2,3,4,5,6,7,8,9,min
900,8.86327,6.174486,5.909638,6.488366,5.734051,5.423664,5.807667,6.716896,5.110624,5.857676,5.110624
3310,7.512699,7.76309,7.684446,8.472077,7.787466,6.347563,8.038417,6.645308,10.635845,7.254558,6.347563
5720,9.619406,9.874547,9.927908,11.482357,8.945483,12.778174,12.196932,12.495236,10.348161,13.287757,8.945483
8130,12.357365,17.305466,17.022947,16.721361,14.074342,11.790652,16.509246,16.798051,18.187041,16.560513,11.790652
10540,23.266729,22.816376,24.241683,23.265893,18.626223,24.400371,25.341171,23.017809,24.031317,24.967647,18.626223
12950,17.006331,30.577454,33.185781,26.448832,32.713567,30.653307,18.199411,30.573686,31.379827,33.100088,17.006331
15360,27.091891,31.700693,21.942567,39.692185,42.109489,41.338202,39.431459,42.845648,40.947986,22.132965,21.942567
17770,30.681812,52.25449,51.586502,53.851547,50.855585,51.488513,52.978848,51.366009,51.715161,50.891001,30.681812
20180,63.052957,65.282591,64.557471,66.724595,64.427213,64.22306,66.484614,64.569839,38.323328,64.134851,38.323328
22590,79.967747,42.068721,38.038577,73.201741,75.909319,43.480273,41.751143,42.434009,39.020518,38.724868,38.038577
25000,50.029492,90.161093,64.660023,93.631441,47.471383,45.678345,92.359793,93.663017,49.691661,93.853414,45.678345
