N,0,1,2,3,4,5,6,7,8,9,min
900,2.547228,3.254455,3.166594,3.434511,3.158005,3.252363,3.127275,3.007006,3.788476,3.927185,2.547228
3310,6.640155,7.770142,7.359259,8.39859,8.827147,8.454397,7.570747,9.000501,8.131938,8.350617,6.640155
5720,15.664768,15.805993,15.668126,15.23615,15.786444,13.936728,18.018697,15.628187,14.578102,15.56289,13.936728
8130,25.52885,26.226654,24.392093,26.85944,26.688188,25.712136,24.512377,27.15489,27.180736,24.925299,24.392093
10540,38.495525,38.590447,40.143622,39.099334,39.186783,40.543699,39.229607,38.919928,37.507915,39.594064,37.507915
12950,56.343709,52.083424,57.202304,53.234173,50.260327,50.864687,30.621066,55.489575,52.085145,53.28841,30.621066
15360,75.790922,76.373982,75.281433,79.775575,77.128874,71.644023,58.919287,58.400358,74.266033,74.439882,58.400358
17770,69.277911,93.540714,69.060434,69.180293,70.133522,68.047868,83.080606,93.476098,69.061386,86.26954,68.047868
20180,80.10636,86.017563,82.86058,105.163817,123.453088,121.372675,85.451943,79.330315,119.780141,107.850336,79.330315
22590,80.388047,106.870103,92.345539,80.778704,91.946751,82.326241,83.290367,74.004265,130.342052,93.881177,74.004265
25000,85.545992,171.041223,83.382465,155.669672,105.372571,136.613869,76.488167,162.172297,103.454703,181.515145,76.488167
