N,min,Generation,Map,Merge,Sort,Reduce
900,11.62219,0.000854,0.004306,0.000811,0.003864,0.001591
3310,29.160023,0.002747,0.007975,0.001214,0.01576,0.001284
5720,62.988043,0.005014,0.011907,0.001447,0.042816,0.001624
8130,114.194134,0.006946,0.016625,0.001764,0.08388,0.001804
10540,184.212,0.008839,0.020601,0.002206,0.143362,0.002018
12950,275.815029,0.011731,0.023077,0.002492,0.215762,0.002114
15360,378.889818,0.012599,0.032833,0.00313,0.307826,0.002316
17770,507.637024,0.015849,0.037616,0.003791,0.447568,0.002594
20180,651.962996,0.018195,0.044851,0.004592,0.597713,0.002813
22590,822.17598,0.019279,0.050877,0.00512,0.743773,0.002934
25000,984.645128,0.021017,0.057455,0.005532,0.897269,0.003163
