N,0,1,2,3,4,5,6,7,8,9,min
900,43.300608,41.73754,42.359594,39.776288,41.731836,40.183503,42.288591,38.925665,43.831427,37.535606,37.535606
3310,53.844601,78.270589,55.477332,69.43763,62.907824,59.152012,63.697726,72.472048,74.026965,66.091575,53.844601
5720,113.972324,110.214767,107.467599,94.424797,92.911106,87.910986,117.889489,89.053369,106.778124,101.388042,87.910986
8130,157.056986,155.772132,154.425046,130.414612,124.285835,155.358123,154.814491,156.593659,134.534697,150.9757,124.285835
10540,200.004157,208.283027,199.875507,210.914898,180.817224,183.868881,200.207161,180.978918,178.533061,178.754906,178.533061
12950,254.168241,240.672419,265.050154,240.84184,251.738086,260.052243,240.098382,275.242044,272.190996,242.923628,240.098382
15360,329.391225,314.8541,304.212901,315.354988,306.217767,320.900498,344.074248,325.006107,315.792083,314.902416,304.212901
17770,408.224214,396.214569,393.820729,389.653965,418.689676,428.407111,396.909698,397.966183,431.777517,419.871544,389.653965
20180,489.020304,491.254933,488.869894,491.757043,525.974015,509.727365,520.493503,503.990353,487.551778,494.60057,487.551778
22590,608.863405,635.276316,596.359601,599.2544,598.102057,629.949143,604.613248,636.457923,628.440009,629.178561,596.359601
25000,723.384354,723.0508,721.989761,748.103589,732.717427,740.855128,733.000339,741.724504,746.920919,743.17467,721.989761
