N,0,1,2,3,4,5,6,7,8,9,min
900,57.966834,55.068738,46.961969,46.483568,53.323654,51.215611,50.366554,56.318039,49.786275,53.045035,46.483568
3310,59.052682,60.45411,66.756154,71.842372,59.583032,56.916232,66.349217,65.140186,66.359188,63.97064,56.916232
5720,73.902113,106.883871,82.130422,92.099836,83.774946,76.268614,90.037314,82.487676,107.752638,106.855462,73.902113
8130,104.851894,152.305931,157.254473,158.167308,155.715773,154.66984,109.994472,154.85327,154.503047,94.765963,94.765963
10540,127.556198,134.158083,129.065663,220.306462,183.517642,222.573011,136.645819,127.484142,126.101472,130.381681,126.101472
12950,162.258725,300.067369,155.495034,163.177356,159.990756,237.983931,305.461553,188.915682,164.268496,156.790458,155.495034
15360,211.25538,234.005903,232.962966,194.199133,349.417518,298.087458,366.383232,194.016844,200.0348,200.321266,194.016844
17770,248.273383,380.299889,410.90056,241.231035,265.028016,250.301798,243.924977,248.938444,253.167349,253.363091,241.231035
20180,301.238667,295.099946,297.729282,293.888998,305.784733,405.216373,300.975606,297.891593,293.885912,294.066707,293.885912
22590,347.740279,357.985323,364.277867,555.687103,524.852205,536.362576,359.454504,621.725037,382.608963,364.546433,347.740279
25000,417.535736,412.375313,586.031712,427.346379,417.222517,581.047988,409.519086,425.403051,411.264164,406.878727,406.878727
