N,T,iter,Generation,Map,Merge,Sort,Reduce
22590,2498.113871,0,0.026963,0.004113,0.000523,2.408457,0.043297
22590,2485.110998,1,0.018122,0.00358,0.000463,2.406509,0.042577
22590,2484.34782,2,0.018113,0.003608,0.000462,2.40594,0.042555
22590,2499.248981,3,0.027981,0.004227,0.000577,2.407353,0.043407
22590,2499.593973,4,0.02866,0.004242,0.000552,2.407083,0.043407
22590,2501.272917,5,0.02997,0.004213,0.000561,2.407682,0.043412
22590,2497.897863,6,0.027946,0.004195,0.000569,2.406883,0.043374
22590,2496.144772,7,0.026427,0.004135,0.000542,2.406789,0.043276
22590,2484.239101,8,0.018159,0.00359,0.000458,2.405847,0.042564
22590,2484.450102,9,0.01812,0.003644,0.000462,2.405742,0.042569
25000,3029.844999,0,0.020022,0.003616,0.000454,2.945034,0.046665
25000,3030.756235,1,0.020008,0.003585,0.000478,2.945363,0.046703
25000,3030.881882,2,0.020046,0.003629,0.000463,2.945609,0.046724
25000,3030.695915,3,0.020105,0.003606,0.000459,2.945652,0.046726
25000,3030.735016,4,0.020018,0.00361,0.00046,2.945657,0.046757
25000,3030.895948,5,0.02002,0.003579,0.000472,2.945666,0.04683
25000,3030.692101,6,0.019972,0.003636,0.000459,2.945813,0.046709
25000,3030.65896,7,0.020019,0.003628,0.000462,2.945687,0.046719
25000,3031.073809,8,0.020074,0.003616,0.000449,2.945802,0.046718
25000,3030.713081,9,0.020029,0.003572,0.000473,2.94554,0.046833
