N,min,Generation,Map,Merge,Sort,Reduce
900,12.443066,0.000889,0.005334,0.000745,0.003752,0.001525
3310,29.065132,0.002903,0.007871,0.000926,0.015019,0.002151
5720,57.126999,0.005031,0.010357,0.001242,0.038048,0.002268
8130,96.451044,0.006912,0.012628,0.001422,0.072937,0.002363
10540,147.535801,0.008774,0.015396,0.001605,0.119177,0.002395
12950,210.126877,0.010684,0.018277,0.001834,0.176579,0.002554
15360,284.530878,0.012703,0.021603,0.002085,0.245173,0.00276
17770,370.209932,0.014495,0.024411,0.002324,0.325987,0.002791
20180,467.314005,0.016452,0.027077,0.002477,0.418145,0.002951
22590,576.952219,0.018659,0.030667,0.002778,0.521561,0.003038
25000,700.021029,0.020239,0.036725,0.003369,0.636352,0.003137
