N,T,iter,Generation,Map,Merge,Sort,Reduce
900,19.287825,0,0.000903,0.003615,0.000474,0.0026,0.004349
900,19.402981,1,0.000908,0.003649,0.000474,0.002613,0.004375
900,19.824028,2,0.000924,0.003773,0.000474,0.002603,0.004475
900,19.412994,3,0.000896,0.003664,0.000475,0.002575,0.004378
900,19.401073,4,0.000916,0.003624,0.000463,0.002608,0.004376
900,19.344807,5,0.000904,0.003686,0.000467,0.002555,0.004384
900,19.361019,6,0.000903,0.003684,0.000468,0.002569,0.004401
900,19.450903,7,0.000915,0.003643,0.000471,0.002615,0.004386
900,19.356012,8,0.000903,0.003664,0.000469,0.00257,0.004388
900,19.391775,9,0.000928,0.003623,0.000472,0.002581,0.004355
3310,26.669025,0,0.003656,0.004019,0.000472,0.005144,0.004458
3310,26.759148,1,0.003683,0.004041,0.000498,0.005217,0.004483
3310,26.669979,2,0.00368,0.004044,0.000468,0.005223,0.00445
3310,26.688814,3,0.003708,0.00404,0.000469,0.005137,0.004499
3310,26.763201,4,0.003678,0.00407,0.000466,0.005161,0.004475
3310,26.499033,5,0.003708,0.004064,0.000453,0.005148,0.004453
3310,26.682138,6,0.003713,0.004061,0.000468,0.005166,0.004461
3310,26.710987,7,0.003673,0.004024,0.000479,0.00522,0.004496
3310,26.613951,8,0.003669,0.004046,0.000479,0.005133,0.004441
3310,26.440144,9,0.003464,0.004082,0.000467,0.005141,0.004516
5720,30.948162,0,0.005335,0.003671,0.000471,0.008023,0.004572
5720,30.904055,1,0.005295,0.003638,0.000466,0.008051,0.004561
5720,30.801058,2,0.005327,0.003645,0.000476,0.008065,0.00452
5720,30.77507,3,0.005291,0.003652,0.000469,0.007959,0.004536
5720,30.731916,4,0.005274,0.003642,0.00047,0.008006,0.004544
5720,30.663967,5,0.005338,0.00365,0.000465,0.008028,0.004567
5720,30.977011,6,0.005289,0.003746,0.000476,0.007964,0.004639
5720,30.869007,7,0.005278,0.003733,0.000476,0.008014,0.004555
5720,31.098127,8,0.005327,0.00377,0.000474,0.008064,0.004636
5720,31.332016,9,0.005309,0.003753,0.000473,0.008071,0.00468
8130,38.330078,0,0.007342,0.003973,0.000499,0.011922,0.004706
8130,37.713051,1,0.007407,0.003831,0.000508,0.011538,0.004613
8130,37.538052,2,0.007288,0.003875,0.000497,0.011324,0.004594
8130,37.439108,3,0.007245,0.003818,0.000497,0.011389,0.00461
8130,37.608147,4,0.00732,0.00397,0.000487,0.011286,0.004713
8130,37.451029,5,0.007303,0.003812,0.000497,0.01146,0.004595
8130,37.509918,6,0.007309,0.003895,0.000493,0.011272,0.004699
8130,37.534952,7,0.007274,0.003931,0.000503,0.011195,0.004668
8130,37.344933,8,0.007315,0.003835,0.000486,0.011291,0.004688
8130,37.385941,9,0.007154,0.003859,0.000494,0.01148,0.004599
10540,44.222832,0,0.00929,0.003709,0.000504,0.015748,0.004864
10540,44.092894,1,0.009213,0.003751,0.000509,0.015521,0.004762
10540,44.08288,2,0.00937,0.003751,0.00047,0.015779,0.00476
10540,44.224024,3,0.009257,0.003764,0.000487,0.015706,0.004912
10540,44.404984,4,0.009338,0.003739,0.00048,0.015783,0.004932
10540,43.789148,5,0.009154,0.003698,0.000466,0.015541,0.004778
10540,44.139147,6,0.009288,0.003694,0.000493,0.015619,0.004705
10540,44.285059,7,0.009334,0.003721,0.000471,0.015739,0.004902
10540,43.545008,8,0.009194,0.003669,0.000468,0.015628,0.004694
