N,T,iter,Generation,Map,Merge,Sort,Reduce
10540,43.580055,9,0.009193,0.003697,0.000466,0.015525,0.00465
12950,59.086084,0,0.011267,0.003734,0.000499,0.027647,0.004925
12950,58.732986,1,0.011141,0.003702,0.000491,0.027463,0.005039
12950,58.211088,2,0.011183,0.003752,0.000483,0.027041,0.00486
12950,57.771921,3,0.011276,0.003752,0.000485,0.026934,0.004753
12950,59.166908,4,0.011317,0.003803,0.000493,0.027684,0.004813
12950,58.533907,5,0.011147,0.003739,0.000516,0.027697,0.004842
12950,58.188915,6,0.01109,0.003691,0.000481,0.027235,0.004964
12950,58.367968,7,0.011066,0.003677,0.000479,0.027567,0.004972
12950,58.918953,8,0.011065,0.003663,0.000504,0.027689,0.005074
12950,58.437109,9,0.011105,0.003672,0.000471,0.027652,0.004919
15360,61.367989,0,0.013119,0.003675,0.000482,0.027414,0.005494
15360,62.318087,1,0.013205,0.003682,0.00049,0.027911,0.005521
15360,61.792135,2,0.013044,0.003691,0.000481,0.027545,0.005565
15360,61.123133,3,0.013175,0.003768,0.000481,0.027337,0.005177
15360,61.069965,4,0.013182,0.003684,0.00048,0.027488,0.005299
15360,61.974049,5,0.01318,0.003767,0.000482,0.028043,0.005435
15360,61.868906,6,0.013248,0.003729,0.000483,0.027482,0.005548
15360,62.040091,7,0.013137,0.003697,0.000486,0.027994,0.005541
15360,61.983109,8,0.013048,0.003705,0.000487,0.028064,0.005527
15360,60.761929,9,0.013066,0.003709,0.000469,0.027427,0.005201
17770,71.69199,0,0.015053,0.004824,0.00115,0.033535,0.005697
17770,72.980165,1,0.015039,0.0048,0.001172,0.033867,0.005895
17770,72.875023,2,0.014976,0.004782,0.001159,0.033905,0.005932
17770,72.41106,3,0.014916,0.004734,0.001151,0.033552,0.005873
17770,72.772026,4,0.015093,0.004858,0.001142,0.03357,0.005872
17770,72.301865,5,0.014974,0.004714,0.001147,0.033653,0.005737
17770,72.011948,6,0.015089,0.004732,0.001135,0.033692,0.005697
17770,73.371887,7,0.015085,0.004842,0.001138,0.033895,0.005894
17770,73.397875,8,0.015078,0.004862,0.001171,0.034224,0.005928
17770,72.990894,9,0.015134,0.004841,0.001165,0.033815,0.005816
20180,80.101967,0,0.016994,0.003812,0.000519,0.040791,0.005881
20180,82.251072,1,0.017098,0.003842,0.000535,0.041639,0.005997
20180,82.814932,2,0.017297,0.003883,0.000542,0.041822,0.006001
20180,82.349062,3,0.01723,0.003789,0.00052,0.041589,0.00602
20180,83.067179,4,0.016977,0.003825,0.000534,0.04269,0.005951
20180,82.289219,5,0.016903,0.003831,0.000514,0.041516,0.006041
20180,81.035137,6,0.016924,0.003776,0.000516,0.040901,0.005855
20180,83.118916,7,0.017111,0.003887,0.00053,0.042164,0.00599
20180,82.369089,8,0.016915,0.00377,0.000516,0.042336,0.005997
20180,82.542896,9,0.016906,0.003801,0.00052,0.042313,0.00599
22590,94.208002,0,0.018835,0.003671,0.00049,0.051261,0.006033
22590,94.979048,1,0.019023,0.00373,0.000513,0.051473,0.006214
22590,93.560219,2,0.018942,0.003745,0.000509,0.050915,0.005977
22590,95.440149,3,0.018865,0.003641,0.000505,0.052476,0.006027
22590,93.313932,4,0.018922,0.003687,0.000523,0.050904,0.006068
22590,94.236135,5,0.018976,0.003748,0.000516,0.051503,0.006085
22590,94.599009,6,0.01904,0.003705,0.000507,0.051569,0.00623
22590,93.613148,7,0.018897,0.003679,0.000513,0.05075,0.006212
22590,95.204115,8,0.019368,0.003736,0.000513,0.051621,0.006077
22590,92.853069,9,0.018858,0.003692,0.000506,0.050416,0.006078
25000,99.714994,0,0.020936,0.003708,0.000516,0.053887,0.00632
25000,99.560976,1,0.02119,0.003677,0.000516,0.054108,0.006211
25000,99.905968,2,0.020819,0.003768,0.000513,0.053885,0.006762
25000,98.895073,3,0.020936,0.003661,0.00052,0.053514,0.006381
25000,98.054171,4,0.020756,0.003631,0.00051,0.052838,0.006374
25000,98.905087,5,0.020994,0.003664,0.000508,0.053019,0.00638
25000,99.997044,6,0.020927,0.003679,0.000507,0.054576,0.006444
25000,100.133896,7,0.02086,0.003644,0.000512,0.054123,0.006852
25000,99.10202,8,0.020921,0.003647,0.00052,0.053553,0.006359
25000,99.379063,9,0.020851,0.003662,0.000568,0.053499,0.006354
