N,0,1,2,3,4,5,6,7,8,9,min
900,214.637061,294.079931,202.457785,198.829477,201.640566,208.422349,199.72685,205.258706,109.973837,205.956805,109.973837
3310,222.374193,213.981365,225.933874,215.350982,223.181726,220.365086,225.359055,217.935588,224.100716,224.101158,213.981365
5720,247.672741,251.552281,250.303282,252.666582,253.274856,249.013063,251.982162,259.987765,250.81839,249.261942,247.672741
8130,294.411945,289.882312,293.126952,289.125522,284.373507,299.685627,191.729622,290.689195,285.435642,294.534715,191.729622
10540,341.715382,343.583124,336.493802,336.358845,335.664527,342.079771,342.563257,341.852735,335.341051,333.242567,333.242567
12950,303.353144,407.666839,299.193862,396.48639,392.570782,301.173453,398.975633,299.214234,406.533642,392.905436,299.193862
15360,477.009446,465.298684,475.411962,455.391917,363.729791,469.77217,468.136751,473.30182,471.362658,471.318858,363.729791
17770,529.900063,548.103643,546.270863,444.586424,446.490364,540.170963,524.388926,533.256547,538.558179,524.158858,444.586424
20180,635.590175,641.008822,717.742415,638.102109,638.7159,622.967713,636.080095,626.891051,632.375836,619.485639,619.485639
22590,692.685842,711.770805,694.648664,688.666069,695.482133,679.099671,682.012458,710.568541,647.241071,705.499142,647.241071
25000,766.34315,786.608076,767.69584,791.568621,799.152415,755.4371,760.008446,766.885709,774.306697,758.905823,755.4371
