N,0,1,2,3,4,5,6,7,8,9,min
900,5.074903,4.742448,4.88898,4.586418,4.574405,4.403218,4.490593,4.133973,5.274868,4.880462,4.133973
3310,6.523114,6.912772,6.392367,7.553518,8.451149,7.192847,7.177342,7.386524,5.968909,7.602761,5.968909
5720,14.084254,10.311649,10.90113,11.783117,8.647905,11.334233,11.815876,12.614259,9.609515,11.154039,8.647905
8130,24.335223,16.037583,18.866603,19.307807,15.714139,21.755972,13.20752,18.531289,15.824217,16.599762,13.20752
10540,19.103104,19.63692,35.113529,20.703996,32.139306,19.144107,19.421946,28.39359,21.72407,19.126301,19.103104
12950,30.722675,27.369756,42.99598,31.819996,27.094995,28.496412,31.513667,27.443729,24.744476,26.300388,24.744476
15360,40.47219,53.466287,37.717833,41.488844,35.287481,40.647299,47.843801,35.681754,33.090549,37.184728,33.090549
17770,45.332644,44.648456,44.014555,52.497164,68.006766,44.458628,43.856506,46.700411,47.160963,53.156015,43.856506
20180,69.91911,81.218249,52.720057,71.321446,58.542268,51.817541,55.655326,64.315555,75.529417,81.883051,51.817541
22590,76.742192,78.707603,67.350496,66.650523,78.525949,70.479372,77.65968,71.463898,75.375999,78.055565,66.650523
25000,85.184051,94.176252,79.586553,108.765543,83.129393,82.968965,101.754339,80.061506,95.402177,93.096282,79.586553
