N,0,1,2,3,4,5,6,7,8,9,min
900,11.73415,18.133141,7.834094,17.721674,7.926893,17.726264,7.894267,17.792007,7.936646,17.705214,7.834094
3310,40.308466,71.020616,40.594806,40.819823,40.597473,40.701316,40.745519,40.632204,40.681109,40.533623,40.308466
5720,96.115195,126.412112,101.676705,120.672875,103.368368,126.793118,96.493724,126.953841,96.769312,96.023052,96.023052
8130,172.014268,205.166312,202.165933,179.680576,203.596863,204.888247,180.563061,202.821661,173.962074,202.961006,172.014268
10540,279.287941,305.098825,305.983901,275.332799,304.728835,303.164533,301.643632,302.091257,281.686169,302.153664,275.332799
12950,395.989892,405.0405,429.436789,395.781382,405.151192,427.564772,402.141022,428.595024,405.960672,428.172934,395.781382
15360,542.596972,551.659827,575.452975,551.058325,574.769576,550.732648,573.30471,542.8794,544.739608,574.1462,542.596972
17770,711.520292,711.451042,713.223053,742.767058,739.723262,743.701718,743.408567,741.728931,713.296591,740.54507,711.451042
20180,936.247717,934.567391,935.9883,932.412123,936.559076,932.158128,935.418336,934.887044,956.331539,933.037551,932.158128
22590,1117.68734,1150.388059,1147.002361,1149.947606,1148.74039,1149.956539,1136.889277,1146.921529,1150.988652,1118.05367,1117.68734
25000,1384.89659,1389.240192,1385.895427,1386.898854,1385.277204,1386.944258,1389.029841,1385.168555,1386.378686,1388.267967,1384.89659
