N,min,Generation,Map,Merge,Sort,Reduce
900,27.128935,0.00085,0.014006,0.001728,0.006738,0.003619
3310,42.376041,0.002847,0.015709,0.001889,0.017181,0.004568
5720,71.717024,0.005091,0.018487,0.002301,0.040902,0.004766
8130,109.110832,0.007056,0.019267,0.00244,0.075261,0.004909
10540,148.019075,0.008821,0.020558,0.002261,0.110975,0.005213
12950,204.154968,0.010712,0.021148,0.002251,0.164745,0.005122
15360,283.712149,0.012709,0.023124,0.00232,0.239943,0.005436
17770,335.01792,0.014723,0.024642,0.002424,0.287655,0.005404
20180,381.059885,0.01664,0.026814,0.002868,0.329254,0.005295
22590,511.018038,0.018528,0.030116,0.002985,0.453452,0.00575
25000,608.741045,0.021245,0.032837,0.003314,0.545148,0.006017
