N,min,Generation,Map,Merge,Sort,Reduce
900,11.944056,0.000868,0.005271,0.00074,0.003411,0.001472
3310,28.565168,0.002768,0.007821,0.000923,0.014826,0.002043
5720,56.529045,0.005027,0.010127,0.001236,0.037741,0.002219
8130,95.581055,0.006913,0.012533,0.001419,0.072327,0.002206
10540,147.03083,0.008806,0.015093,0.001662,0.118912,0.002377
12950,209.672928,0.010739,0.017992,0.001904,0.176318,0.00253
15360,282.83,0.012617,0.020782,0.002167,0.244448,0.002608
17770,369.433165,0.014481,0.024798,0.002416,0.324819,0.002715
20180,466.062069,0.016359,0.02771,0.00262,0.41639,0.002786
22590,575.213909,0.018228,0.030465,0.002916,0.520416,0.002984
25000,696.757793,0.020209,0.034468,0.003342,0.635304,0.003236
