N,T,iter,Generation,Map,Merge,Sort,Reduce
900,19.212961,0,0.001009,0.003673,0.000505,0.00221,0.004443
900,19.382,1,0.000976,0.00372,0.000477,0.002272,0.004493
900,18.885136,2,0.000916,0.003589,0.00047,0.00216,0.004428
900,18.919945,3,0.000911,0.003601,0.000458,0.002184,0.004382
900,18.899918,4,0.000919,0.003599,0.000465,0.002178,0.00439
900,18.921137,5,0.000915,0.003587,0.00047,0.002144,0.004437
900,18.905878,6,0.000907,0.003598,0.00046,0.002182,0.004409
900,19.196033,7,0.000901,0.003704,0.000471,0.002225,0.004444
900,18.889904,8,0.000916,0.003597,0.000463,0.002155,0.004404
900,18.919945,9,0.000906,0.003596,0.000485,0.002169,0.004403
3310,25.679111,0,0.003674,0.004025,0.000483,0.004301,0.004492
3310,25.81501,1,0.003611,0.004096,0.000469,0.004241,0.004489
3310,25.984049,2,0.003671,0.004043,0.000466,0.004291,0.004593
3310,25.994062,3,0.003672,0.004025,0.000477,0.004334,0.004554
3310,25.918961,4,0.003704,0.004019,0.000483,0.004271,0.004531
3310,25.825977,5,0.003659,0.004013,0.000462,0.004233,0.004533
3310,26.151896,6,0.003659,0.004155,0.000478,0.004249,0.004631
3310,26.200056,7,0.003683,0.00417,0.000478,0.004261,0.004619
3310,26.187181,8,0.003692,0.004215,0.000469,0.004295,0.004584
3310,26.077032,9,0.003556,0.004155,0.00048,0.004331,0.004588
5720,34.023046,0,0.005324,0.003742,0.00047,0.011064,0.004625
5720,33.973932,1,0.005208,0.003635,0.000469,0.011358,0.004584
5720,34.315109,2,0.005258,0.003638,0.000462,0.011546,0.004561
5720,34.126997,3,0.005286,0.003656,0.000482,0.011414,0.004573
5720,33.869982,4,0.00525,0.003641,0.000463,0.011138,0.004561
5720,33.876896,5,0.005279,0.003662,0.000477,0.010994,0.00457
5720,34.26981,6,0.005243,0.003746,0.000493,0.011401,0.00458
5720,34.188032,7,0.005307,0.003727,0.000468,0.011452,0.004613
5720,34.218073,8,0.005329,0.003767,0.000474,0.011068,0.004694
5720,34.589052,9,0.005344,0.003665,0.000529,0.011478,0.004639
8130,42.883873,0,0.00729,0.003904,0.000486,0.016242,0.005284
8130,42.481899,1,0.007181,0.003818,0.000521,0.015974,0.005139
8130,42.831182,2,0.007205,0.003831,0.000505,0.016024,0.005345
8130,42.773008,3,0.00719,0.003845,0.000517,0.016209,0.00531
8130,42.788029,4,0.007308,0.00391,0.000491,0.016046,0.00508
8130,42.464972,5,0.007208,0.003864,0.000493,0.015924,0.005117
8130,42.655945,6,0.007133,0.003833,0.000497,0.015984,0.005262
8130,42.42301,7,0.007179,0.003823,0.000493,0.016022,0.005316
8130,42.513132,8,0.007199,0.003827,0.000505,0.01593,0.005068
8130,42.824984,9,0.00719,0.003846,0.000492,0.01621,0.005336
10540,50.457954,0,0.009186,0.003683,0.000499,0.021463,0.005517
10540,49.978971,1,0.009171,0.003683,0.000475,0.021072,0.005501
10540,50.643921,2,0.009119,0.003679,0.000475,0.021543,0.005669
10540,50.80986,3,0.009221,0.00371,0.000495,0.021763,0.005537
10540,50.477982,4,0.009239,0.003677,0.000467,0.021382,0.005569
10540,50.508976,5,0.009223,0.003667,0.000475,0.021479,0.005533
10540,50.611019,6,0.009319,0.003779,0.00049,0.021267,0.005606
10540,49.77107,7,0.009187,0.003753,0.000472,0.020823,0.0056
10540,50.673008,8,0.00918,0.003759,0.000483,0.0215,0.005652
10540,51.156998,9,0.009324,0.003779,0.000484,0.021549,0.005606
12950,65.397978,0,0.011201,0.003822,0.000485,0.033356,0.005797
12950,64.970016,1,0.011129,0.003694,0.000482,0.033193,0.00572
12950,64.230919,2,0.010996,0.003708,0.000486,0.03267,0.005715
12950,63.437939,3,0.011027,0.003668,0.000477,0.03223,0.005576
12950,63.722849,4,0.011051,0.003692,0.000478,0.032233,0.005698
12950,64.317942,5,0.011113,0.003664,0.000489,0.032621,0.005719
12950,64.729929,6,0.011013,0.003653,0.00048,0.033101,0.005728
12950,64.121008,7,0.010965,0.003654,0.000482,0.033042,0.005612
12950,63.971996,8,0.01099,0.003678,0.00049,0.032519,0.005701
12950,64.223051,9,0.011013,0.003683,0.000485,0.03254,0.005587
15360,72.630882,0,0.013107,0.003651,0.000473,0.038245,0.005921
15360,73.293924,1,0.012925,0.003733,0.000482,0.038362,0.006182
15360,71.899176,2,0.013028,0.003602,0.000472,0.037696,0.005826
15360,72.072029,3,0.012929,0.003652,0.000474,0.037917,0.00599
15360,71.874142,4,0.013001,0.003626,0.000465,0.037897,0.005875
15360,72.578192,5,0.01289,0.003673,0.000501,0.037905,0.006227
15360,72.920084,6,0.012912,0.00362,0.000472,0.038674,0.006037
15360,73.380947,7,0.013089,0.003661,0.000472,0.038785,0.006065
15360,73.63987,8,0.01317,0.003662,0.000481,0.038956,0.006166
15360,73.199034,9,0.013056,0.003627,0.000501,0.038788,0.006134
17770,85.283995,0,0.015005,0.004712,0.001127,0.045874,0.006511
17770,86.819172,1,0.014849,0.004711,0.001173,0.047228,0.006737
17770,86.922884,2,0.015093,0.004746,0.001164,0.047035,0.006749
17770,86.668015,3,0.014908,0.004769,0.001171,0.046906,0.00674
17770,86.822987,4,0.015062,0.004791,0.001166,0.047079,0.006739
17770,86.424112,5,0.01493,0.004752,0.001153,0.046878,0.006731
17770,86.63106,6,0.015066,0.004779,0.001155,0.04698,0.006728
17770,86.345911,7,0.015109,0.004806,0.001152,0.046632,0.006769
17770,85.75511,8,0.015076,0.004736,0.001146,0.045923,0.006608
