N,min,Generation,Map,Merge,Sort,Reduce
900,15.010118,0.000891,0.006058,0.000804,0.005745,0.001315
3310,30.208111,0.002904,0.008077,0.001154,0.016525,0.001363
5720,61.59091,0.00524,0.011653,0.001475,0.041456,0.001582
8130,115.216068,0.006919,0.016131,0.001808,0.084383,0.001776
10540,185.999901,0.008874,0.020767,0.002141,0.14503,0.001988
12950,272.494947,0.011662,0.026772,0.002557,0.219218,0.002084
15360,382.977982,0.012635,0.031523,0.003115,0.31328,0.002251
17770,508.774042,0.016044,0.0382,0.003938,0.447755,0.002616
20180,654.572964,0.016928,0.045424,0.004612,0.584579,0.002845
22590,813.316107,0.020078,0.050877,0.00505,0.734153,0.002913
25000,986.130953,0.021017,0.057455,0.005532,0.891269,0.003163
